391 41369 28758 6	275 1174 584 427 1478 270 1657
7 30 169 9	49 168 454 137 110 431 27 118
9 341 8 294 1061	116 16 70 2200 198 2647 244 312 2622 312
3115 6 20 5	2 1074 1 145 1771 13 2 72
11 77 0 4	8 15 1 31 2 191 3
678 4833 971 20 883	159 1 17 4 2 72 1566 1 214
54 0 50 5363	2 1421 38 1 17 4 5 215 22
6 0 20 2	38 44 1 16 0 41 2045 78 48
6 1962 0 5	2734 48 18 44 1 17 191
0 14 8 2	128 3 1 116 69 31 16
11 458 0 2603	161 2 2783 3 281 33 1
872 2 139 94	1 0 99 1963 13 52 207 1958 167
433 269 84 75 53	667 8 409 1077 823 403 338 714 398 15
31 4 912 759 3	12 3143 481 0 1345 401 2 1059 1 3042
123 538 57 81	147 125 160 120 74 322 21 27 218
199 11 0 4	213 170 11049 302 1 19 2
120 520 387 57 81	74 147 218 846 1266 260 123 79 1687
69 202 151 2766	50 983 216 29 7 54 33
0 166 45 132	46 2 48 1 4 3 18
73 36 630 4437 24	4062 25 4075 7 47 2368 4076 4056 719
7 245 250 47	246 530 24 32 12 36 249
6179 3926 4022 3790 3551	5504 6489 3862 4233 4594 4446 3845 4379 3930 4033 3985 3598
818 2623 2038 4593	156 122 106 816 3979 8282 10033 6412 1866
165 6 789 5	88 14 419 15 16 119 293
866 925 921 895 913 18	1782 172 119 19 1339 214 17787 1787 15404 9217
208 229 76 153	55 325 98 107 86 732 43 258 651
2043 7 1596 2042 2051 36	630 47 21432 21 2790 2699 190 13126 11275
6 789 5 88	14 42 53 46 28 44 1
17 50 19 78	5 48 38 44 1 1038 6 991 1421 10
17 574 909 0 78	581 85 3 335 1 13 871 399 56
731 374 1764 670	2005 2002 2004 52 207 666 266
6 0 1075 1	2320 64 777 2236 198 244 1
3461 16 6 5	13 38 28 58 44 19 3462
363 69 311 230	236 71 2861 46 148 29 447 183 620
521 298 135 529 149	1226 1225 294 299 134 108 1227 92 868 980 34
6 132 2 22	63 1 0 41 5 40 224
7 30 169 49	168 137 110 431 9 454 27 118
391 402 5 320	38 1 54 16 14 2 1566
82 84 75 87	1599 53 1613 126 172 1614 1612 1610
17 574 909 0 85	3 335 1 13 871 399 56 2 581
731 374 1764 670	2005 2002 2004 52 207 666 266
6 0 1075 1	2320 64 777 2236 198 244 1
3461 16 6 5	13 38 28 58 44 19 3462
363 69 311 230	236 71 2861 46 148 29 447 183 620
521 298 135 529 149	1226 1225 294 299 134 108 1227 92 868 980 34
6 132 2 22	63 1 0 41 5 40 224
7 30 169 49	168 137 110 431 9 454 27 118
82 84 75 87	1599 53 1613 126 172 1614 1612 1610
17 574 909 0 85	3 335 1 13 871 399 56 2 581
402 95 6 1772 5	516 113 60 38 28 221 327 19 962
731 374 1764 670	2005 2002 2004 52 207 666 266
2846 1819 2851 388 2300 2008	2847 2854 1901 2852 643 2013 9 2014 2011 2849 2842 2838
11 1015 2841 98	2845 759 10 222 258 2848 401 76 443
521 298 135 529 149	1226 1225 294 299 134 108 1227 92 868 980 34
7 30 169 49	168 137 110 431 9 454 27 118
0 960 99 56 2 167	320 438 639 851 13 38 439 982 94 1 876
11 351 9 496	47 350 1212 24 12 36 195
384 169 119 323	649 168 118 220 2086 2087 103
2924 674 1961 730 2727 579	185 297 2732 127 665 33 153 188 35 2921 43 2733
11614 6 1331 5	11465 11455 2234 11930 6150 15 901 15796
731 374 1764 670	2005 2002 2004 52 207 666 266
2846 1819 2851 388 2300 2008	2847 2854 1901 2852 643 2013 9 2014 2011 2849 2842 2838
11 1015 2841 98	2845 759 10 222 258 2848 401 76 443
521 298 135 529 149	1226 1225 294 299 134 108 1227 92 868 980 34
7 30 169 49	168 137 110 431 9 454 27 118
0 960 99 56 2 167	320 438 639 851 13 38 439 982 94 1 876
384 169 119 323	649 168 118 220 2086 2087 103
2924 674 1961 730 2727 579	185 297 2732 127 665 33 153 188 35 2921 43 2733
240 2676 36 1475	47 1564 24 2269 469 809 264 105 139 185 640
866 925 504 17	878 11 1455 1443 500 921 895 913
731 374 1764 670	2005 2002 2004 52 207 666 266
6 0 1075 1	2320 64 777 2236 198 244 1
521 298 135 529 149	1226 1225 294 299 134 108 1227 92 868 980 34
6 132 2 22	63 1 0 41 5 40 224
7 30 169 49	168 137 110 431 9 454 27 118
384 169 119 323	649 168 118 220 2086 2087 103
6 41 5 38	28 40 63 95 64 19 268 22
17 574 909 0 85	3 335 1 13 871 399 56 2 581
5 1 6 0	41 2 22 10 3 18 40
797 559 558 557	561 545 1318 544 83 560 1316
35 270 706 264	43 343 715 76 793 127 262 913 109
731 374 1764 670	2005 2002 2004 52 207 666 266
7 30 367 104 9	263 310 309 308 80 242 25 115 12
521 298 135 529 149	1226 1225 294 299 134 108 1227 92 868 980 34
7 660 2217 36 2215	47 24 30 2210 2214 2213 32 2216 12
7 30 169 49	168 137 110 431 9 454 27 118
3504 3515 3235 181	3982 1482 1471 3768 3688 3531 3537
1015 401 1498 759	10 222 1512 258 11 1503 98 76 443
69 16 49 19 1140	34 79 42 93 320 29 28 21 59 27
929 532 26 785 9 524	525 36 47 531 24 25 1206 7 1205 32 1204 1197
2846 1819 2851 388 2300 2008	2847 2854 1901 2852 643 2013 9 2014 2011 2849 2842 2838
7005 54 2962 0	50 2338 10503 2 2062 3841 1 10443
0 113 2 48	70 3577 3182 1317 68 1 362
11 1015 2841 98	2845 759 10 222 258 2848 401 76 443
1138 402 282 2	2069 473 1 0 2237 254 3244 2340
474 7 2869 97 100	2865 2868 862 192 80 222 101 774 2468
7 30 169 49	168 137 110 431 9 454 27 118
0 960 99 56 2 167	320 438 639 851 13 38 439 982 94 1 876
384 169 119 323	649 168 118 220 2086 2087 103
2924 1961 730 2727 579 185	297 2732 127 665 33 153 188 35 2921 674 43 2733
1155 260 957 1096	1097 1098 73 1608 1100 672 23
69 2246 315 435	254 71 275 2026 2725 822 33 23
223 17 77 6 41	1929 1341 3219 5 356 22 40 328 63 1972 587
103 306 1186 400 589 241	280 265 227 412 91 307 393 53 585 404 237 211
2434 154 2065 20	388 1602 1748 1895 3239 1838 2438
7 521 298 135 529 149	1226 1225 294 299 134 108 1227 92 868 980 12 34
554 1138 374 0 635	177 2 2188 1 1802 1288 1860 569 1417
7 30 169 49	168 137 110 431 9 454 27 118
474 7 1529 1526 97	774 100 1525 862 192 80 222 101 23
82 84 75 87	1599 53 1613 126 172 1614 1612 1610
363 2521 1362 1595 228 208	19 1377 13 2329 624 18 2657 148 55 859 19 28492
2492 2547 76 2897 2884 1378	82 2682 2655 2614 2887 98 2893 2661 2886 2888 2889 2885
940 927 923 305 272	176 317 85 342 888 362 570 939 858 549
123 81 74 322	147 218 125 160 120 538 57 21 27
2184 875 233 2155	1531 1466 990 1853 914 13 1042
2336 0 1338 146	13 2 28 3 4075 2195 1 2976
11 1595 866 925	895 504 17 878 500 2194 921 2190 913
7 318 97 0	49 484 2 3 1 10 21
208 2456 229 76 153	55 325 98 107 86 732 43 258 651
114 0 45 132	2 15 1 8 764 3 18
35 270 706 264	43 343 715 76 793 127 262 913 109
363 69 311 230	236 71 2861 46 148 29 447 183 620
945 49 879 441	894 442 316 148 949 56 1798
521 298 135 529 149	1226 1225 294 299 134 108 1227 92 868 980 34
7 30 169 49	168 137 110 431 9 454 27 118
82 84 75 87	1599 53 1613 126 172 1614 1612 1610
1015 401 1498 759	10 222 1512 258 11 1503 98 76 443
929 532 26 785 9 524	525 36 47 531 24 25 1206 7 1205 32 1204 1197
948 378 114 458 0	298 482 37 2 299 1083 33 18 1
31 11 0 4	8 15 1 77 2 191 3
940 927 923 305 272	176 317 85 342 888 362 570 939 858 549
84 75 416 53	585 589 241 280 227 210 269 306
